Contig,Source,Locus,Number of Genes (before filtering)
CAUJKR010000033.1,Falcons/Mauritius_Kestrel/bFalPun1_pri,IGH,37
OY723433.1,Falcons/Mauritius_Kestrel/bFalPun1_pri,IGL,36
CAUJKS010000244.1,Falcons/Mauritius_Kestrel/bFalPun1_alt,IGH,30
CAUJKS010001402.1,Falcons/Mauritius_Kestrel/bFalPun1_alt,IGL,30
JAJGSR010000084.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,IGH,66
CM036570.1,Ibises/Plumbeous_Ibis/bTheCae1_pri,IGL,18
JAJGSS010000550.1,Ibises/Plumbeous_Ibis/bTheCae1_alt,IGL,15
CBCYMG010000145.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,IGH,153
OZ238942.1,Ibises/Eurasian_Spoonbill/bPlaLeu2_pri,IGL,51
CM028557.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,IGH,75
CM028537.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_pri,IGL,30
CM028516.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_alt,IGH,89
CM028496.1,Landfowl/White_Leghorn_Layer_Chicken/bGalGal1_alt,IGL,26
JAMCCT010000049.1,Landfowl/Rock_Ptarmigan/bLagMut1_pri,IGH,52
CM041492.1,Landfowl/Rock_Ptarmigan/bLagMut1_pri,IGL,30
JAMCCU010000032.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,IGH,50
JAMCCU010000080.1,Landfowl/Rock_Ptarmigan/bLagMut1_alt,IGL,30
CATOBQ010005405.1,Landfowl/Western_Capercaillie/bTetUro1_alt,IGH,14
CATOBQ010002927.1,Landfowl/Western_Capercaillie/bTetUro1_alt,IGL,29
OX596311.1,Landfowl/Western_Capercaillie/bTetUro1_pri,IGL,28
JBDMBA010000142.1,Landfowl/King_Quail/bCotChi1_alt,IGH,20
CM078511.1,Landfowl/King_Quail/bCotChi1_alt,IGL,23
CM078198.1,Landfowl/King_Quail/bCotChi1_pri,IGL,23
JALIRH010000274.1,Landfowl/California_Quail/bCalCai1_pri,IGH,24
JALIRH010000021.1,Landfowl/California_Quail/bCalCai1_pri,IGL,24
JALIRI010001294.1,Landfowl/California_Quail/bCalCai1_alt,IGH,22
JALIRI010000023.1,Landfowl/California_Quail/bCalCai1_alt,IGL,24
JAUPFR010000273.1,Landfowl/Mountain_Quail/bOrePic1_pri,IGH,26
JAUPFR010000019.1,Landfowl/Mountain_Quail/bOrePic1_pri,IGL,23
JAUPFS010000194.1,Landfowl/Mountain_Quail/bOrePic1_alt,IGH,23
JAUPFS010000018.1,Landfowl/Mountain_Quail/bOrePic1_alt,IGL,23
CM003638.2,Landfowl/IMGT_Chicken/bGRCg6a_pri,IGH,151
CM000107.5,Landfowl/IMGT_Chicken/bGRCg6a_pri,IGL,30
RXXE02000078.1,Parrots/Kakapo/bStrHab1_pri,IGH,49
CM013772.1,Parrots/Kakapo/bStrHab1_pri,IGL,19
CM022661.1,Parrots/Budgerigar/bMelUnd1_pri,IGH,24
CM054402.1,Parrots/BlueAndGold_Macaw/bAraAra1_pri,IGH,19
CM054263.1,Parrots/BlueAndGold_Macaw/bAraAra1_alt,IGH,17
JBCFXG010000172.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,IGH,21
CM077891.1,Parrots/YellowCrowned_Amazon/bAmaOch1_pri,IGL,14
JBCFXH010000274.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,IGH,39
CM077861.1,Parrots/YellowCrowned_Amazon/bAmaOch1_alt,IGL,17
JBBBVN010000301.1,Parrots/Swift_Parrot/bLatDis1_pri,IGH,14
CM073815.1,Parrots/Swift_Parrot/bLatDis1_pri,IGL,13
CM073791.1,Parrots/Swift_Parrot/bLatDis1_alt,IGL,12
CM098572.1,Parrots/Golden_Parakeet/bGuaGua1_pri,IGH,15
CM098551.1,Parrots/Golden_Parakeet/bGuaGua1_pri,IGL,17
CM098667.1,Parrots/Golden_Parakeet/bGuaGua1_alt,IGH,17
CM098646.1,Parrots/Golden_Parakeet/bGuaGua1_alt,IGL,13
OY725439.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,IGH,23
OY725433.1,Parrots/Mauritius_Parakeet/bPsiEch3_pri,IGL,13
CAUJLE010001346.1,Parrots/Mauritius_Parakeet/bPsiEch3_alt,IGH,25
CAUJLE010000915.1,Parrots/Mauritius_Parakeet/bPsiEch3_alt,IGL,9
CM030040.1,Plovers/European_Golden_Plover/bPluApr1_pri,IGH,104
CM030022.1,Plovers/European_Golden_Plover/bPluApr1_pri,IGL,57
JAGGDW010001089.1,Plovers/European_Golden_Plover/bPluApr1_alt,IGH,84
JAGGDW010000412.1,Plovers/European_Golden_Plover/bPluApr1_alt,IGL,43
CBDDMR010001993.1,Plovers/Northern_Lapwing/bVanVan1_pri,IGH,22
OZ246532.1,Plovers/Northern_Lapwing/bVanVan1_pri,IGL,25
VMED01000058.1,Plovers/Razorbill/bAlcTor1_pri,IGH,82
CM018088.1,Plovers/Razorbill/bAlcTor1_pri,IGL,18
VMEC01001272.1,Plovers/Razorbill/bAlcTor1_alt,IGL,18
OZ067280.1,Plovers/Eurasian_Curlew/bNumArq3_pri,IGH,214
OZ067258.1,Plovers/Eurasian_Curlew/bNumArq3_pri,IGL,18
WNMW01000084.1,Plovers/Common_Tern/bSteHir1_pri,IGH,205
CM020447.1,Plovers/Common_Tern/bSteHir1_pri,IGL,37
WNMX01001252.1,Plovers/Common_Tern/bSteHir1_alt,IGL,31
JAPUFH010000235.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,IGH,75
CM052042.1,Plovers/BlackLegged_Kittiwake/bRisTri1_pri,IGL,29
CM053014.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,IGH,77
CM052997.1,Plovers/BlackLegged_Kittiwake/bRisTri1_alt,IGL,25
CAWUPG010002615.1,Plovers/BlackHeaded_Gull/bChrRid1_alt,IGH,205
CAWUPG010000460.1,Plovers/BlackHeaded_Gull/bChrRid1_alt,IGL,24
OZ001758.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,IGH,165
OZ001746.1,Plovers/BlackHeaded_Gull/bChrRid1_pri,IGL,24
CAWVQS010000284.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,IGH,94
OZ010766.1,Plovers/Lesser_BlackBacked_Gull/bLarFus1_pri,IGL,45
CAXMZH010000235.1,Plovers/YellowLegged_Gull/bLarMic1_pri,IGH,159
OZ118760.1,Plovers/YellowLegged_Gull/bLarMic1_pri,IGL,34
CAXMZI010001386.1,Plovers/YellowLegged_Gull/bLarMic1_alt,IGH,284
CAXMZI010000598.1,Plovers/YellowLegged_Gull/bLarMic1_alt,IGL,26
OZ207415.1,Plovers/Herring_Gull/bLarArg3_pri,IGH,222
OZ207398.1,Plovers/Herring_Gull/bLarArg3_pri,IGL,28
JBFPNB010000169.1,Plovers/Snowy_Plover/bChaNiv1_pri,IGH,35
JBFPNB010000010.1,Plovers/Snowy_Plover/bChaNiv1_pri,IGL,41
JBFPNC010000408.1,Plovers/Snowy_Plover/bChaNiv1_alt,IGH,52
JBFPNC010000010.1,Plovers/Snowy_Plover/bChaNiv1_alt,IGL,41
JAZAVG010000618.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,IGH,28
CM070224.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_pri,IGL,39
JAZAVH010000355.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,IGH,12
CM070193.1,Suboscines/WhiteCrowned_Manakin/bDixPip1_alt,IGL,40
CM098447.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_pri,IGL,27
CM098502.1,Suboscines/Xingu_ScaleBacked_Antbird/bWilVid1_alt,IGL,27
CM020550.1,Suboscines/LancedTailed_Manakin/bChiLan1_pri,IGL,36
WNMD01002276.1,Suboscines/LancedTailed_Manakin/bChiLan1_alt,IGL,15
RRCD01000154.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_pri,IGH,27
CM012128.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_pri,IGL,9
RRCE01002024.1,Hummingbirds/Annas_Hummingbird/bCalAnn1_alt,IGL,9
JBEFNK010000035.1,Hummingbirds/Allens_Hummingbird/bSelSas1_pri,IGH,16
JBEFNK010000020.1,Hummingbirds/Allens_Hummingbird/bSelSas1_pri,IGL,8
JBEFNL010000033.1,Hummingbirds/Allens_Hummingbird/bSelSas1_alt,IGH,15
JBEFNL010000019.1,Hummingbirds/Allens_Hummingbird/bSelSas1_alt,IGL,8
CM104678.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_pri,IGL,10
JAJQWK020000120.1,Hummingbirds/LongTailed_Hermit/bPhaSup1_alt,IGL,10
CM069790.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_pri,IGL,15
CM069823.1,Hummingbirds/Tourmaline_Sunangel/bHelExo1_alt,IGL,13
JAKDEW010000971.1,Songbirds/Bells_Sparrow/bArtBel1_pri,IGH,111
JAKDEW010000025.1,Songbirds/Bells_Sparrow/bArtBel1_pri,IGL,21
CM100650.1,Songbirds/Bengalese_Finch/bLonStr1_pri,IGH,94
CM100629.1,Songbirds/Bengalese_Finch/bLonStr1_pri,IGL,21
CM100697.1,Songbirds/Bengalese_Finch/bLonStr1_alt,IGH,59
CM100676.1,Songbirds/Bengalese_Finch/bLonStr1_alt,IGL,23
CM059948.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,IGH,169
CM059945.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_pri,IGL,18
CM059909.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,IGH,201
CM059906.1,Songbirds/BlackCapped_Chickadee/bPoeAtr1_alt,IGL,17
JBJCII010000137.1,Songbirds/Blue_Jay/bCyaCrs1_pri,IGH,189
CM100547.1,Songbirds/Blue_Jay/bCyaCrs1_pri,IGL,102
JBJCIJ010000199.1,Songbirds/Blue_Jay/bCyaCrs1_alt,IGH,190
CM100591.1,Songbirds/Blue_Jay/bCyaCrs1_alt,IGL,133
JAQMYR010000293.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,IGH,107
JAQMYR010000020.1,Songbirds/California_Scrub_Jay/bAphCal1_pri,IGL,126
JAQMYS010000115.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,IGH,97
JAQMYS010000018.1,Songbirds/California_Scrub_Jay/bAphCal1_alt,IGL,58
OY740758.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,IGH,18
OY740741.1,Songbirds/Common_Chaffinch/bFriCoe1_pri,IGL,24
CAUPSH010002016.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,IGH,67
CAUPSH010000666.1,Songbirds/Common_Chaffinch/bFriCoe1_alt,IGL,24
CM050562.1,Songbirds/Common_Myna/bAcrTri1_pri,IGH,161
CM050550.1,Songbirds/Common_Myna/bAcrTri1_pri,IGL,24
JAPZMP010000477.1,Songbirds/Common_Myna/bAcrTri1_alt,IGH,50
JAPZMP010000970.1,Songbirds/Common_Myna/bAcrTri1_alt,IGL,22
WSPJ01000195.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,IGH,65
CM019918.1,Songbirds/Common_Yellowthroat/bGeoTri1_pri,IGL,23
WSPK01002097.1,Songbirds/Common_Yellowthroat/bGeoTri1_alt,IGL,23
CM055938.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,IGH,197
CM055929.1,Songbirds/Eastern_BlackEared_Wheatear/bOenMel1_pri,IGL,34
WNMY01000176.1,Songbirds/European_Blackcap/bSylAtr1_pri,IGH,203
CM020481.1,Songbirds/European_Blackcap/bSylAtr1_pri,IGL,38
WNMZ01001846.1,Songbirds/European_Blackcap/bSylAtr1_alt,IGL,32
CAIGJR020000325.1,Songbirds/European_Robin/bEriRub2_pri,IGH,358
LR812122.1,Songbirds/European_Robin/bEriRub2_pri,IGL,30
CAIGJN020003295.1,Songbirds/European_Robin/bEriRub2_alt,IGH,84
CAIGJN020000764.1,Songbirds/European_Robin/bEriRub2_alt,IGL,27
JACEWE010000172.1,Songbirds/Garden_Warbler/bSylBor1_pri,IGH,129
CM025973.1,Songbirds/Garden_Warbler/bSylBor1_pri,IGL,30
JACEWF010000122.1,Songbirds/Garden_Warbler/bSylBor1_alt,IGL,31
CM036385.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,IGH,124
CM036363.1,Songbirds/Hawaiian_Crow/bCorHaw1_pri,IGL,73
JAJGSZ010000897.1,Songbirds/Hawaiian_Crow/bCorHaw1_alt,IGL,66
JBHOIP010000221.1,Songbirds/House_Finch/AL_1_alt,IGH,112
JBHOIP010000017.1,Songbirds/House_Finch/AL_1_alt,IGL,27
JBHOIO010000100.1,Songbirds/House_Finch/AL_1_pri,IGL,27
JBHOIN010000038.1,Songbirds/House_Finch/AL_2_alt,IGL,27
JBHOIM010000045.1,Songbirds/House_Finch/AL_2_pri,IGL,26
JBHOIX010000636.1,Songbirds/House_Finch/AZ_1_alt,IGH,69
JBHOIX010000077.1,Songbirds/House_Finch/AZ_1_alt,IGL,26
JBHOIW010000262.1,Songbirds/House_Finch/AZ_1_pri,IGH,88
JBHOIW010000100.1,Songbirds/House_Finch/AZ_1_pri,IGL,22
JBHOIV010000298.1,Songbirds/House_Finch/AZ_2_alt,IGH,75
JBHOIV010000039.1,Songbirds/House_Finch/AZ_2_alt,IGL,32
JBHOIU010000304.1,Songbirds/House_Finch/AZ_2_pri,IGH,151
JBHOIU010000002.1,Songbirds/House_Finch/AZ_2_pri,IGL,27
JBHOJF010000926.1,Songbirds/House_Finch/CA_1_alt,IGL,26
JBHOJE010001265.1,Songbirds/House_Finch/CA_1_pri,IGL,26
JBHOJD010000812.1,Songbirds/House_Finch/CA_2_alt,IGL,27
JBHOID010000262.1,Songbirds/House_Finch/MA_1_alt,IGH,45
JBHOID010000012.1,Songbirds/House_Finch/MA_1_alt,IGL,26
JBHOIC010000277.1,Songbirds/House_Finch/MA_1_pri,IGH,45
JBHOIC010000023.1,Songbirds/House_Finch/MA_1_pri,IGL,22
JBHOIB010000081.1,Songbirds/House_Finch/MA_2_alt,IGL,31
JBHOIA010000044.1,Songbirds/House_Finch/MA_2_pri,IGL,27
JBHOJB010000039.1,Songbirds/House_Finch/NM_1_alt,IGL,27
JBHOJA010000010.1,Songbirds/House_Finch/NM_1_pri,IGL,26
JBHOIZ010000092.1,Songbirds/House_Finch/NM_2_alt,IGL,27
JBHOIY010000037.1,Songbirds/House_Finch/NM_2_pri,IGL,27
JBHOIH010000084.1,Songbirds/House_Finch/NY_1_alt,IGL,21
JBHOIG010000052.1,Songbirds/House_Finch/NY_1_pri,IGL,32
JBHOIF010000067.1,Songbirds/House_Finch/NY_2_alt,IGL,31
JBHOIE010000032.1,Songbirds/House_Finch/NY_2_pri,IGL,27
JBHOIL010000014.1,Songbirds/House_Finch/OH_1_alt,IGL,26
JBHOIK010000037.1,Songbirds/House_Finch/OH_1_pri,IGL,26
JBHOIJ010000011.1,Songbirds/House_Finch/OH_2_alt,IGL,27
JBHOII010000019.1,Songbirds/House_Finch/OH_2_pri,IGL,27
JBHOIT010000093.1,Songbirds/House_Finch/WA_1_alt,IGL,21
JBHOIS010000080.1,Songbirds/House_Finch/WA_1_pri,IGL,27
JBHOIR010000111.1,Songbirds/House_Finch/WA_2_alt,IGL,26
JBHOIQ010000008.1,Songbirds/House_Finch/WA_2_pri,IGL,27
JAPYKD010000319.1,Songbirds/House_Finch/bHaeMex1.alt,IGH,56
JAPYKD010000044.1,Songbirds/House_Finch/bHaeMex1.alt,IGL,27
JAPYKC010000061.1,Songbirds/House_Finch/bHaeMex1.pri,IGH,201
CM050242.1,Songbirds/House_Finch/bHaeMex1.pri,IGL,27
CM071462.1,Songbirds/House_Sparrow/bPasDom1_pri,IGH,655
CM071442.1,Songbirds/House_Sparrow/bPasDom1_pri,IGL,22
JAZGKB010000214.1,Songbirds/House_Sparrow/bPasDom1_alt,IGH,46
CM071481.1,Songbirds/House_Sparrow/bPasDom1_alt,IGL,23
JAQCNU010001251.1,Songbirds/Nelsons_Sparrow/bAmmNel1_alt,IGH,48
JAQCNU010001434.1,Songbirds/Nelsons_Sparrow/bAmmNel1_alt,IGL,25
CM050598.1,Songbirds/Nelsons_Sparrow/bAmmNel1_pri,IGL,24
WHPO01000046.1,Songbirds/New_Caledonian_Crow/bCorMon1_pri,IGH,46
CM018824.1,Songbirds/New_Caledonian_Crow/bCorMon1_pri,IGL,105
JAIWQD010000385.1,Songbirds/RedWinged_Blackbird/bAgePho2_pri,IGH,144
CM036732.1,Songbirds/RedWinged_Blackbird/bAgePho2_pri,IGL,23
CM051221.1,Songbirds/Saltmarsh_Sparrow/bAmmCau1_pri,IGH,57
CM051200.1,Songbirds/Saltmarsh_Sparrow/bAmmCau1_pri,IGL,25
JAQIHC010002198.1,Songbirds/Saltmarsh_Sparrow/bAmmCau1_alt,IGH,59
JAQIHC010000731.1,Songbirds/Saltmarsh_Sparrow/bAmmCau1_alt,IGL,25
CM063150.1,Songbirds/Savannah_Sparrow/bPasSan2_pri,IGH,123
CM063144.1,Songbirds/Savannah_Sparrow/bPasSan2_pri,IGL,26
JAVKUX010001190.1,Songbirds/Savannah_Sparrow/bPasSan2_alt,IGH,59
JAVKUX010000197.1,Songbirds/Savannah_Sparrow/bPasSan2_alt,IGL,26
JAKOOL010000194.1,Songbirds/Savannah_Sparrow2/bPasSan1_pri,IGH,125
JAKOOL010000022.1,Songbirds/Savannah_Sparrow2/bPasSan1_pri,IGL,25
JAKOOM010000005.1,Songbirds/Savannah_Sparrow2/bPasSan1_alt,IGL,26
JAYKTQ010000359.1,Songbirds/Seaside_Sparrow/bAmmMai1_pri,IGH,147
CM069683.1,Songbirds/Seaside_Sparrow/bAmmMai1_pri,IGL,25
JAYKTR010002716.1,Songbirds/Seaside_Sparrow/bAmmMai1_alt,IGL,25
JALCYL010000316.1,Songbirds/Song_Sparrow2/bMelMel1_pri,IGH,144
JALCYL010000029.1,Songbirds/Song_Sparrow2/bMelMel1_pri,IGL,24
JALCYM010001653.1,Songbirds/Song_Sparrow2/bMelMel1_alt,IGL,24
JANXIP010000230.1,Songbirds/Stellers_Jay/bCyaSte1_pri,IGH,187
JANXIP010000026.1,Songbirds/Stellers_Jay/bCyaSte1_pri,IGL,84
JANXIQ010000264.1,Songbirds/Stellers_Jay/bCyaSte1_alt,IGH,103
JANXIQ010000024.1,Songbirds/Stellers_Jay/bCyaSte1_alt,IGL,81
CM020373.1,Songbirds/Swainsons_Thrush/bCatUst1_pri,IGH,360
CM020353.1,Songbirds/Swainsons_Thrush/bCatUst1_pri,IGL,74
WNMR02002398.1,Songbirds/Swainsons_Thrush/bCatUst1_alt,IGH,51
WNMR02001872.1,Songbirds/Swainsons_Thrush/bCatUst1_alt,IGL,62
JAQMCR010000544.1,Songbirds/Swamp_Sparrow/bMelGeo1_alt,IGH,182
JAQMCR010000048.1,Songbirds/Swamp_Sparrow/bMelGeo1_alt,IGL,24
CM051580.1,Songbirds/Swamp_Sparrow/bMelGeo1_pri,IGL,24
JALJCS010000164.1,Songbirds/Tricolored_Blackbird/bAgeTri1_pri,IGH,151
JALJCS010000020.1,Songbirds/Tricolored_Blackbird/bAgeTri1_pri,IGL,23
JALJCT010000212.1,Songbirds/Tricolored_Blackbird/bAgeTri1_alt,IGH,116
JALJCT010000018.1,Songbirds/Tricolored_Blackbird/bAgeTri1_alt,IGL,23
JAPVQZ010000098.1,Songbirds/Village_Indigobird/bVidCha1_pri,IGH,32
CM049543.1,Songbirds/Village_Indigobird/bVidCha1_pri,IGL,22
OZ238496.1,Songbirds/Western_Jackdaw/bColMon1_pri,IGH,82
OZ238482.1,Songbirds/Western_Jackdaw/bColMon1_pri,IGL,76
OY759713.1,Songbirds/WhiteThroated_Dipper/bCinCin1_pri,IGH,35
OY759694.1,Songbirds/WhiteThroated_Dipper/bCinCin1_pri,IGL,20
CAVLEX010002378.1,Songbirds/WhiteThroated_Dipper/bCinCin1_alt,IGL,20
CM106263.1,Songbirds/WhiteThroated_Sparrow/bZonAlb1_pri,IGH,1
CM106248.1,Songbirds/WhiteThroated_Sparrow/bZonAlb1_pri,IGL,24
CM106230.1,Songbirds/WhiteThroated_Sparrow/bZonAlb1_alt,IGH,535
CM106208.1,Songbirds/WhiteThroated_Sparrow/bZonAlb1_alt,IGL,24
JARCOQ010000559.1,Songbirds/Wrentit/bChaFas1_pri,IGH,63
JARCOQ010000018.1,Songbirds/Wrentit/bChaFas1_pri,IGL,28
JARCOR010000568.1,Songbirds/Wrentit/bChaFas1_alt,IGH,64
JARCOR010000018.1,Songbirds/Wrentit/bChaFas1_alt,IGL,28
JANCRA010000343.1,Songbirds/Yellow_Warbler/bSetPet1_pri,IGH,107
JANCRA010000021.1,Songbirds/Yellow_Warbler/bSetPet1_pri,IGL,25
JANCRB010000320.1,Songbirds/Yellow_Warbler/bSetPet1_alt,IGH,192
JANCRB010000022.1,Songbirds/Yellow_Warbler/bSetPet1_alt,IGL,25
CM109827.1,Songbirds/Zebra_Finch/bTaeGut7_pri,IGH,10
CM109804.1,Songbirds/Zebra_Finch/bTaeGut7_pri,IGL,22
CM109786.1,Songbirds/Zebra_Finch/bTaeGut7_alt,IGH,15
CM109765.1,Songbirds/Zebra_Finch/bTaeGut7_alt,IGL,20
JACSVZ010000003.1,Songbirds/Paradise_Crow/bLycPry6_pri,IGL,23
OZ246490.1,Songbirds/SilverEye/bZosLat1_pri,IGL,40
CM069574.1,Songbirds/Song_Sparrow/bMelMel2_pri,IGL,24
JAYKKQ010001732.1,Songbirds/Song_Sparrow/bMelMel2_alt,IGL,24
CM026863.1,Songbirds/Barn_Swallow/bHirRus1_pri,IGL,23
JADDRQ030000160.1,Songbirds/Barn_Swallow/bHirRus1_alt,IGL,23
JBKSJB010000406.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1603_72852_pri,IGH,99
JBKSJB010000028.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1603_72852_pri,IGL,47
JBKSJA010000654.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1603_72872_pri,IGH,91
JBKSJA010000014.1,Songbirds/Florida_scrub_jay/A.coerulescens_AC_1603_72872_pri,IGL,47
