group,id,gap
Bird,Northern_Gannet/bMorBas2_alt,3997.0
Bird,Northern_Gannet/bMorBas2_pri,3017.0
Bird,RedBilled_Tropicbird/bPhaAeh10_pri,8561.0
Bird,RedCrested_Turaco/bTauEry1_alt,0.0
Bird,RedCrested_Turaco/bTauEry1_pri,0.0
Bird,RedLegged_Seriema/bCarCri1_alt,8295.0
Bird,RedLegged_Seriema/bCarCri1_pri,2675.0
Bird,RedThroated_Loon/bGavSte3_alt,1985.0
Bird,RedThroated_Loon/bGavSte3_pri,2470.0
Bird,Rifleman/bAcaChl1_alt,0.0
Bird,Rifleman/bAcaChl1_pri,35685044.0
Bird,Speckled_Mousebird/bColStr4_alt,12473.0
Bird,Surucua_Trogon/bTroSur1_pri,0.0
Bird,Tawny_Frogmouth/bPodStr1_alt,5981.0
Bird,Tawny_Frogmouth/bPodStr1_pri,0.0
Bird,Whiskered_Treeswift/bHemCom1_alt,0.0
Bird,Whiskered_Treeswift/bHemCom1_pri,0.0
Bird,YellowThroated_Sandgrouse/bPteGut1_alt,92628.0
Bird,Little_Owl/bAthNoc1_pri,0.0
Bird,Spotted_Owl/bStriOcc1_alt,4260.0
Bird,Spotted_Owl/bStriOcc1_pri,4260.0
Bird,Tawny_Owl/bStrAlu1_pri,17658.0
Bird,BlueAndGold_Macaw/bAraAra1_alt,0.0
Bird,BlueAndGold_Macaw/bAraAra1_pri,144022.0
Bird,Budgerigar/bMelUnd1_pri,63353.0
Bird,Golden_Parakeet/bGuaGua1_alt,0.0
Bird,Golden_Parakeet/bGuaGua1_pri,0.0
Bird,Kakapo/bStrHab1_pri,0.0
Bird,Mauritius_Parakeet/bPsiEch3_pri,0.0
Bird,Swift_Parrot/bLatDis1_pri,13170.0
Bird,YellowCrowned_Amazon/bAmaOch1_alt,2708.0
Bird,YellowCrowned_Amazon/bAmaOch1_pri,1702.0
Bird,BlackHeaded_Gull/bChrRid1_pri,313464.0
Bird,BlackLegged_Kittiwake/bRisTri1_pri,65472.0
Bird,Common_Tern/bSteHir1_pri,20986.0
Bird,Eurasian_Curlew/bNumArq3_pri,6881.0
Bird,European_Golden_Plover/bPluApr1_alt,2868.0
Bird,European_Golden_Plover/bPluApr1_pri,3300.0
Bird,Lesser_BlackBacked_Gull/bLarFus1_alt,12636.0
Bird,Northern_Lapwing/bVanVan1_pri,5772.0
Bird,YellowLegged_Gull/bLarMic1_alt,84095.0
Bird,Bells_Sparrow/bArtBel1_alt,9343.0
Bird,Bengalese_Finch/bLonStr1_alt,61205.0
Bird,Bengalese_Finch/bLonStr1_pri,159968.0
Bird,BlackCapped_Chickadee/bPoeAtr1_alt,758228.0
Bird,BlackCapped_Chickadee/bPoeAtr1_pri,995333.0
Bird,Blue_Jay/bCyaCrs1_alt,0.0
Bird,Blue_Jay/bCyaCrs1_pri,0.0
Bird,California_Scrub_Jay/bAphCal1_alt,0.0
Bird,California_Scrub_Jay/bAphCal1_pri,1330.0
Bird,Common_Chaffinch/bFriCoe1_pri,0.0
Bird,Common_cactus_finch/Scandens_alt,0.0
Bird,Common_cactus_finch/Scandens_pri,0.0
Bird,Eastern_BlackEared_Wheatear/bOenMel1_pri,0.0
Bird,European_Robin/bEriRub2_alt,0.0
Bird,European_Robin/bEriRub2_pri,0.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1603_72852_pri,56161.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1873_10093_pri,46699.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1873_10702_pri,55047.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1873_10717_pri,42870.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1873_20934_pri,48539.0
Bird,Florida_scrub_jay/A.coerulescens_AC_1873_20946_pri,41929.0
Bird,Garden_Warbler/bSylBor1_pri,56358.0
Bird,Hawaiian_Crow/bCorHaw1_pri,64911.0
Bird,House_Finch/MA_1_alt,14885.0
Bird,House_Finch/MA_1_pri,14885.0
Bird,House_Finch/NM_2_alt,0.0
Bird,House_Finch/NM_2_pri,0.0
Bird,House_Finch/NY_2_alt,91413.0
Bird,House_Finch/NY_2_pri,91413.0
Bird,House_Finch/OH_1_alt,91009.0
Bird,House_Finch/OH_1_pri,91009.0
Bird,House_Finch/bHaeMex1.alt,0.0
Bird,House_Finch/bHaeMex1.pri,16762.0
Bird,House_Sparrow/bPasDom1_pri,244234.0
Bird,Ibera_seedeater/bSpoIbe1,144637.0
Bird,Ibera_seedeater/bSpoIbe5,79076.0
Bird,Ibera_seedeater/bSpoIbe6,78223.0
Bird,Ibera_seedeater/bSpoIbe7,84199.0
Bird,Ibera_seedeater/bSpoIbe8,0.0
Bird,Island_scrub_jay/A.insularis_AI_1363_74536_pri,1756.0
Bird,Island_scrub_jay/A.insularis_AI_1363_74537_pri,1490.0
Bird,Island_scrub_jay/A.insularis_AI_1363_74544_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1363_74565_pri,1775.0
Bird,Island_scrub_jay/A.insularis_AI_1603_79174_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1603_79203_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1603_79232_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1603_79302_pri,1775.0
Bird,Island_scrub_jay/A.insularis_AI_1603_79315_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1703_64680_pri,86415.0
Bird,Island_scrub_jay/A.insularis_AI_1833_00513_pri,0.0
Bird,Island_scrub_jay/A.insularis_AI_1833_00687_pri,1701.0
Bird,Large_ground_finch/Magnirostris_alt,0.0
Bird,Large_ground_finch/Magnirostris_pri,0.0
Bird,Medium_ground_finch/Fortis_pri,0.0
Bird,Medium_ground_finch/GeospizaFortis_HiC,0.0
Bird,Nelsons_Sparrow/bAmmNel1_alt,59047.0
Bird,New_Caledonian_Crow/bCorMon1_pri,47732.0
Bird,Pearly_bellied_seedeater/bSpoPil2_pri,0.0
Bird,Saltmarsh_Sparrow/bAmmCau1_alt,985.0
Bird,Saltmarsh_Sparrow/bAmmCau1_pri,0.0
Bird,Savannah_Sparrow/bPasSan2_alt,0.0
Bird,Savannah_Sparrow/bPasSan2_pri,1178902.0
Bird,Savannah_Sparrow2/bPasSan1_pri,104182.0
Bird,Seaside_Sparrow/bAmmMai1_pri,87168.0
Bird,Small_ground_finch/Fuliginosa_alt,0.0
Bird,Small_ground_finch/Fuliginosa_pri,0.0
Bird,Small_tree_finch/GCA_902806625_1,62768.0
Bird,Song_Sparrow/bMelMel2_pri,0.0
Bird,Stellers_Jay/bCyaSte1_alt,1148.0
Bird,Stellers_Jay/bCyaSte1_pri,1384.0
Bird,Swainsons_Thrush/bCatUst1_pri,246808.0
Bird,Swamp_Sparrow/bMelGeo1_alt,0.0
Bird,Tawny_bellied_seedeater/bSpoHyp4,75076.0
Bird,Tawny_bellied_seedeater/bSpoHyp6,85731.0
Bird,Village_Indigobird/bVidCha1_pri,0.0
Bird,Western_Jackdaw/bColMon1_pri,848518.0
Bird,WhiteThroated_Dipper/bCinCin1_pri,124232.0
Bird,WhiteThroated_Sparrow/bZonAlb1_alt,0.0
Bird,WhiteThroated_Sparrow/bZonAlb1_pri,0.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_365326_pri,0.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_365327_pri,2241.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_365335_pri,1697.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_365338_pri,0.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_365339_pri,1709.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366487_pri,52873.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366490_pri,0.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366493_pri,0.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366494_pri,15597.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366497_pri,1663.0
Bird,Woodhouse_scrub_jay/A.woodhouseii_AW_366498_pri,1254.0
Bird,Wrentit/bChaFas1_alt,18451.0
Bird,Wrentit/bChaFas1_pri,18451.0
Bird,Yellow_Warbler/bSetPet1_alt,0.0
Bird,Yucatan_jay/C.yucatanicus_CY_8788_pri,0.0
Bird,Zebra_Finch/bTaeGut7_alt,987807.0
Bird,Zebra_Finch/bTaeGut7_pri,843628.0
Bird,WhiteCrowned_Manakin/bDixPip1_pri,0.0
Bird,Brazilian_Merganser/bMerOct1_alt,0.0
Bird,Brazilian_Merganser/bMerOct1_pri,0.0
Bird,Canada_Goose/bBraCan1_alt,3024.0
Bird,Canada_Goose/bBraCan1_pri,4480.0
Bird,Common_Goldeneye/bBucCla1_alt,2687.0
Bird,Common_Goldeneye/bBucCla1_pri,0.0
Bird,Common_Pochard/bAytFer1_pri,0.0
Bird,Domestic_Goose/bAnsAns1_pri,0.0
Bird,Greater_Scaup/bAytMar2_pri,412576.0
Bird,LongTailed_Duck/bClaHye2_alt,0.0
Bird,LongTailed_Duck/bClaHye2_pri,2038.0
Bird,Mallard/bAnaPla2_pri,0.0
Bird,Mallard/bPekinDuck_T2T,0.0
Bird,Mute_Swan/bCygOlo1_alt,10694.0
Bird,Mute_Swan/bCygOlo1_pri,2121.0
Bird,Northern_Pintail/bAnaAcu1_alt,37471.0
Bird,Northern_Pintail/bAnaAcu1_pri,6722.0
Bird,PinkFooted_Goose/bAnsBra1_alt,3539.0
Bird,PinkFooted_Goose/bAnsBra1_pri,4006.0
Bird,RedCrested_Pochard/bNetRuf1_alt,1979.0
Bird,RedCrested_Pochard/bNetRuf1_pri,2811.0
Bird,Swan_Goose/bAnsCyg1_pri,0.0
Bird,Tufted_Duck/bAytFul2_alt,2821.0
Bird,Tufted_Duck/bAytFul2_pri,0.0
Bird,Tundra_Swan/bCygCol1_alt,0.0
Bird,Tundra_Swan/bCygCol1_pri,0.0
Bird,Acorn_Woodpecker/bMelFor1_alt,5611.0
Bird,Acorn_Woodpecker/bMelFor1_pri,6936.0
Human,human_T2T,20257.0
