group,Locus,id,n_v,span_bp,density_per_mb
Bird,TRG,Gyrfalcon/bFalRus1_alt,4,6481,617.1887054466904
Bird,IGH,Gyrfalcon/bFalRus1_pri,43,42708,1006.8371265336705
Bird,IGL,Gyrfalcon/bFalRus1_pri,26,31414,827.6564589036736
Bird,TRA,Gyrfalcon/bFalRus1_pri,26,174396,149.08598821073878
Bird,TRB,Gyrfalcon/bFalRus1_pri,5,7701117,0.6492564650037131
Bird,TRG,Gyrfalcon/bFalRus1_pri,4,6483,616.9983032546661
Bird,IGL,Lanner_Falcon/bFalBia1_alt,27,33405,808.2622361921868
Bird,TRA,Lanner_Falcon/bFalBia1_alt,26,176266,147.50434003154322
Bird,TRB,Lanner_Falcon/bFalBia1_alt,3,47560,63.07821698906645
Bird,TRG,Lanner_Falcon/bFalBia1_alt,6,15889,377.6197369249166
Bird,IGH,Lanner_Falcon/bFalBia1_pri,15,14460,1037.344398340249
Bird,IGL,Lanner_Falcon/bFalBia1_pri,29,34809,833.1178718147605
Bird,TRA,Lanner_Falcon/bFalBia1_pri,37,232918,158.85418902789823
Bird,TRB,Lanner_Falcon/bFalBia1_pri,5,7702880,0.6491078661487651
Bird,TRG,Lanner_Falcon/bFalBia1_pri,6,15896,377.453447408153
Bird,IGH,Lesser_Kestrel/bFalNau1_alt,26,21439,1212.7431316759178
Bird,IGL,Lesser_Kestrel/bFalNau1_alt,65,72421,897.5297220419492
Bird,TRA,Lesser_Kestrel/bFalNau1_alt,9,43850,205.24515393386545
Bird,TRB,Lesser_Kestrel/bFalNau1_alt,4,7709396,0.5188473908980678
Bird,TRG,Lesser_Kestrel/bFalNau1_alt,11,33884,324.63699681265496
Bird,IGH,Lesser_Kestrel/bFalNau1_pri,12,12945,926.9988412514484
Bird,IGL,Lesser_Kestrel/bFalNau1_pri,52,53498,971.9989532318966
Bird,TRA,Lesser_Kestrel/bFalNau1_pri,27,138290,195.2418829994938
Bird,TRB,Lesser_Kestrel/bFalNau1_pri,5,7712994,0.6482566951303216
Bird,TRG,Lesser_Kestrel/bFalNau1_pri,11,32979,333.54558961763547
Bird,IGH,Mauritius_Kestrel/bFalPun1_alt,30,17115,1752.8483786152499
Bird,IGL,Mauritius_Kestrel/bFalPun1_alt,30,35613,842.3890152472412
Bird,TRA,Mauritius_Kestrel/bFalPun1_alt,28,148867,188.08735314072294
Bird,TRG,Mauritius_Kestrel/bFalPun1_alt,6,15855,378.4295175023652
Bird,IGH,Mauritius_Kestrel/bFalPun1_pri,37,20773,1781.1582342463776
Bird,IGL,Mauritius_Kestrel/bFalPun1_pri,36,44559,807.9175924055746
Bird,TRA,Mauritius_Kestrel/bFalPun1_pri,35,198740,176.1094897856496
Bird,TRB,Mauritius_Kestrel/bFalPun1_pri,3,7690663,0.39008340373255207
Bird,TRG,Mauritius_Kestrel/bFalPun1_pri,6,15861,378.2863627766219
Bird,IGL,Peregrine_Falcon/bFalPer1_alt,9,11841,760.0709399543957
Bird,TRA,Peregrine_Falcon/bFalPer1_alt,14,89392,156.6135672095937
Bird,TRB,Peregrine_Falcon/bFalPer1_alt,3,47535,63.11139160618492
Bird,TRG,Peregrine_Falcon/bFalPer1_alt,6,15870,378.07183364839324
Bird,IGH,Peregrine_Falcon/bFalPer1_pri,16,17805,898.6239820275202
Bird,IGL,Peregrine_Falcon/bFalPer1_pri,30,38301,783.2693663350826
Bird,TRA,Peregrine_Falcon/bFalPer1_pri,33,228674,144.31024077945023
Bird,TRB,Peregrine_Falcon/bFalPer1_pri,5,7699501,0.6493927333732407
Bird,TRG,Peregrine_Falcon/bFalPer1_pri,4,6483,616.9983032546661
Bird,IGL,Saker_Falcon/bFalChe1_alt,47,52290,898.8334289539108
Bird,TRA,Saker_Falcon/bFalChe1_alt,30,176040,170.41581458759373
Bird,TRB,Saker_Falcon/bFalChe1_alt,3,47559,63.07954330410648
Bird,TRG,Saker_Falcon/bFalChe1_alt,6,15873,378.00037800037796
Bird,IGH,Saker_Falcon/bFalChe1_pri,29,25684,1129.1076156361937
Bird,IGL,Saker_Falcon/bFalChe1_pri,43,49376,870.8684381075826
Bird,TRA,Saker_Falcon/bFalChe1_pri,29,164815,175.9548584776871
Bird,TRB,Saker_Falcon/bFalChe1_pri,5,7705586,0.648879916465795
Bird,TRG,Saker_Falcon/bFalChe1_pri,6,15889,377.6197369249166
Bird,IGH,Allens_Hummingbird/bSelSas1_alt,15,8785,1707.4558907228231
Bird,IGL,Allens_Hummingbird/bSelSas1_alt,8,8448,946.9696969696969
Bird,TRA,Allens_Hummingbird/bSelSas1_alt,11,49846,220.679693455844
Bird,TRB,Allens_Hummingbird/bSelSas1_alt,6,58079,103.30756383546549
Bird,TRG,Allens_Hummingbird/bSelSas1_alt,3,7102,422.4162207828781
Bird,IGH,Allens_Hummingbird/bSelSas1_pri,16,8599,1860.6814745900685
Bird,IGL,Allens_Hummingbird/bSelSas1_pri,8,8453,946.4095587365432
Bird,TRA,Allens_Hummingbird/bSelSas1_pri,10,62194,160.78721420072677
Bird,TRB,Allens_Hummingbird/bSelSas1_pri,6,57970,103.50181128169743
Bird,TRG,Allens_Hummingbird/bSelSas1_pri,3,7125,421.05263157894734
Bird,IGL,Annas_Hummingbird/bCalAnn1_alt,9,8890,1012.3734533183351
Bird,TRA,Annas_Hummingbird/bCalAnn1_alt,9,82332,109.31351114997814
Bird,TRB,Annas_Hummingbird/bCalAnn1_alt,6,56904,105.44074230282581
Bird,TRG,Annas_Hummingbird/bCalAnn1_alt,3,7129,420.81638378454204
Bird,IGH,Annas_Hummingbird/bCalAnn1_pri,27,43913,614.8520939129643
Bird,IGL,Annas_Hummingbird/bCalAnn1_pri,9,8899,1011.3495898415551
Bird,TRA,Annas_Hummingbird/bCalAnn1_pri,9,82744,108.76921589480808
Bird,TRB,Annas_Hummingbird/bCalAnn1_pri,6,56942,105.37037687471462
Bird,TRG,Annas_Hummingbird/bCalAnn1_pri,3,6897,434.9717268377555
Bird,IGL,LongTailed_Hermit/bPhaSup1_alt,10,9523,1050.089257586895
Bird,TRA,LongTailed_Hermit/bPhaSup1_alt,4,11897,336.21921492813317
Bird,TRB,LongTailed_Hermit/bPhaSup1_alt,4,37903,105.53254359813208
Bird,TRG,LongTailed_Hermit/bPhaSup1_alt,3,5211,575.7052389176741
Bird,IGL,LongTailed_Hermit/bPhaSup1_pri,10,9625,1038.9610389610389
Bird,TRA,LongTailed_Hermit/bPhaSup1_pri,4,12007,333.13900224868826
Bird,TRB,LongTailed_Hermit/bPhaSup1_pri,4,37914,105.50192541013872
Bird,TRG,LongTailed_Hermit/bPhaSup1_pri,3,5211,575.7052389176741
Bird,IGL,Tourmaline_Sunangel/bHelExo1_alt,13,10527,1234.919730217536
Bird,TRA,Tourmaline_Sunangel/bHelExo1_alt,6,34655,173.13518972731208
Bird,TRB,Tourmaline_Sunangel/bHelExo1_alt,9,61774,145.69236248259784
Bird,TRG,Tourmaline_Sunangel/bHelExo1_alt,4,12106,330.4146704113663
Bird,IGL,Tourmaline_Sunangel/bHelExo1_pri,15,11718,1280.0819252432157
Bird,TRA,Tourmaline_Sunangel/bHelExo1_pri,9,41299,217.9229521295915
Bird,TRB,Tourmaline_Sunangel/bHelExo1_pri,9,61217,147.0179852001895
Bird,TRG,Tourmaline_Sunangel/bHelExo1_pri,4,12101,330.55119411618875
Bird,IGH,Eurasian_Spoonbill/bPlaLeu2_pri,153,73498,2081.6892976679637
Bird,IGL,Eurasian_Spoonbill/bPlaLeu2_pri,51,43946,1160.5151777181086
Bird,TRA,Eurasian_Spoonbill/bPlaLeu2_pri,47,635298,73.98102937519086
Bird,TRB,Eurasian_Spoonbill/bPlaLeu2_pri,9,105887,84.9962696081672
Bird,TRG,Eurasian_Spoonbill/bPlaLeu2_pri,21,62578,335.58119466905305
Bird,IGL,Plumbeous_Ibis/bTheCae1_alt,15,18522,809.8477486232588
Bird,TRA,Plumbeous_Ibis/bTheCae1_alt,13,135144,96.19368969395609
Bird,TRB,Plumbeous_Ibis/bTheCae1_alt,25,200513,124.68019529905791
Bird,IGH,Plumbeous_Ibis/bTheCae1_pri,66,30087,2193.638448499352
Bird,IGL,Plumbeous_Ibis/bTheCae1_pri,18,21276,846.0236886632825
Bird,TRA,Plumbeous_Ibis/bTheCae1_pri,15,254344,58.975246123360485
Bird,TRB,Plumbeous_Ibis/bTheCae1_pri,17,178431,95.27492420039118
Bird,TRG,Plumbeous_Ibis/bTheCae1_pri,5,17880,279.6420581655481
Bird,IGH,California_Quail/bCalCai1_alt,22,15709,1400.4710675409
Bird,IGL,California_Quail/bCalCai1_alt,24,16785,1429.8480786416442
Bird,TRA,California_Quail/bCalCai1_alt,30,496333,60.443291096904694
Bird,TRB,California_Quail/bCalCai1_alt,4,74260,53.8647993536224
Bird,TRG,California_Quail/bCalCai1_alt,28,45683,612.9194667600639
Bird,IGH,California_Quail/bCalCai1_pri,24,24194,991.9814830123171
Bird,IGL,California_Quail/bCalCai1_pri,24,16770,1431.1270125223614
Bird,TRA,California_Quail/bCalCai1_pri,35,520993,67.1794054814556
Bird,TRB,California_Quail/bCalCai1_pri,4,75058,53.29212075994564
Bird,TRG,California_Quail/bCalCai1_pri,29,45682,634.8233439866906
Bird,IGH,IMGT_Chicken/bGRCg6a_pri,151,84478,1787.4476194985677
Bird,IGL,IMGT_Chicken/bGRCg6a_pri,30,21814,1375.2635921885028
Bird,TRA,IMGT_Chicken/bGRCg6a_pri,75,1345747,55.73112925386421
Bird,TRB,IMGT_Chicken/bGRCg6a_pri,16,210045,76.17415315765669
Bird,TRG,IMGT_Chicken/bGRCg6a_pri,40,84306,474.4620786183664
Bird,IGH,King_Quail/bCotChi1_alt,20,13621,1468.3209749651273
Bird,IGL,King_Quail/bCotChi1_alt,23,22262,1033.1506603180308
Bird,TRA,King_Quail/bCotChi1_alt,35,208283,168.04059860862384
Bird,TRB,King_Quail/bCotChi1_alt,5,66525,75.15971439308531
Bird,TRG,King_Quail/bCotChi1_alt,11,33799,325.453415781532
Bird,IGL,King_Quail/bCotChi1_pri,23,22262,1033.1506603180308
Bird,TRA,King_Quail/bCotChi1_pri,37,227046,162.9625714612898
Bird,TRB,King_Quail/bCotChi1_pri,5,65335,76.52865998316369
Bird,TRG,King_Quail/bCotChi1_pri,13,46819,277.66505051368034
Bird,IGH,Mountain_Quail/bOrePic1_alt,23,18715,1228.960726689821
Bird,IGL,Mountain_Quail/bOrePic1_alt,23,17130,1342.6736719206071
Bird,TRA,Mountain_Quail/bOrePic1_alt,21,216273,97.09949924401104
Bird,TRB,Mountain_Quail/bOrePic1_alt,5,88983,56.19050829933807
Bird,TRG,Mountain_Quail/bOrePic1_alt,16,30869,518.3193495092164
Bird,IGH,Mountain_Quail/bOrePic1_pri,26,22389,1161.2845593818392
Bird,IGL,Mountain_Quail/bOrePic1_pri,23,17131,1342.5952950790963
Bird,TRA,Mountain_Quail/bOrePic1_pri,27,295433,91.39127991795094
Bird,TRB,Mountain_Quail/bOrePic1_pri,6,96481,62.188410153294434
